time,food_name,quantity
breakfast,blue-milk,0.33 cup
breakfast,sugar,4 g
breakfast,oats-upma,1 cup
breakfast,apple-with-skin,100 g
breakfast,kiwi,50 g
breakfast,guava,50 g
lunch,pumpkin-kootu,1 cup
lunch,beetroot-carrot-curry,1 cup
lunch,curd,0.33 cup
lunch,baked-papad,2 discrete
lunch,white-rice,4 tbsp
lunch,toor-dal,0.33 cup
evening-snack,my-nut-berry-mix,1 discrete
evening-snack,blue-milk,0.33 cup
evening-snack,sugar,4 g
evening-snack,coconut-water,250 g
dinner,chapathi,3 discrete
dinner,channa-masala,1 cup
dinner,curd,0.33 cup
