time,food_name,quantity
breakfast,blue-milk,0.33 cup
breakfast,sugar,6 g
breakfast,wheat-bread,50 g
breakfast,watermelon,100 g
breakfast,chia-seeds,10 g
breakfast,kiwi,50 g
breakfast,guava,50 g
lunch,hebbars-sambar,0.5 cup
lunch,cabbage-subzi,1 cup
lunch,curd,0.33 cup
lunch,baked-papad,1 discrete
lunch,white-rice,4 tbsp
lunch,my-dal-mix,1 discrete
evening-snack,my-nut-berry-mix,1 discrete
evening-snack,blue-milk,0.33 cup
evening-snack,sugar,6 g
evening-snack,carrot,50 g
evening-snack,coconut-water,200 g
dinner,hebbars-sambar,0.5 cup
dinner,daliya-upma,1 cup
dinner,curd,0.33 cup
dinner,baked-papad,1 discrete
