time,food_name,quantity
breakfast,blue-milk,0.33 cup
breakfast,sugar,6 g
breakfast,wheat-bread,50 g
breakfast,banana,100 g
breakfast,papaya,100 g
breakfast,guava,50 g
lunch,radish-sambar,0.5 cup
lunch,curd,0.33 cup
lunch,fried-papad,1 discrete
lunch,white-rice,4 tbsp
lunch,my-dal-mix,1 discrete
lunch,plantain-curry,0.75 cup
lunch,chowchow-carrot-kootu,0.75 cup
evening-snack,my-nut-berry-mix,1 discrete
evening-snack,blue-milk,0.33 cup
evening-snack,sugar,6 g
dinner,radish-sambar,0.5 cup
dinner,millet-pongal,1 cup
dinner,curd,0.33 cup
