time,food_name,quantity
breakfast,blue-milk,0.33 cup
breakfast,sugar,6 g
breakfast,semolina-semiya,1 cup
breakfast,apple-without-skin,100 g
breakfast,kiwi,50 g
breakfast,pomegranate,50 g
lunch,rasam,1 cup
lunch,curd,0.33 cup
lunch,fried-papad,1 discrete
lunch,white-rice,4 tbsp
lunch,my-dal-mix,1 discrete
lunch,carrot-parupu-usili,1 cup
evening-snack,my-nut-berry-mix,1 discrete
evening-snack,blue-milk,0.33 cup
evening-snack,sugar,6 g
evening-snack,whey-protein-powder,30 g
dinner,gobi-65,1 cup
dinner,dosai,2 discrete
dinner,tomato-onion-chutney,0.25 cup
dinner,curd,0.33 cup
