time,food_name,quantity
breakfast,blue-milk,0.33 cup
breakfast,sugar,6 g
breakfast,apple-without-skin,100 g
breakfast,pomegranate,50 g
breakfast,banana,70 g
breakfast,chia-seeds,5 g
breakfast,oats-upma,1 cup
lunch,jeera-rice,1.25 cup
lunch,dal-tadka,1 cup
lunch,broccoli-dry,1 cup
lunch,white-rice,1 tbsp
lunch,curd,0.33 cup
lunch,baked-papad,1 discrete
evening-snack,my-nut-berry-mix,1 discrete
evening-snack,blue-milk,0.33 cup
evening-snack,sugar,6 g
evening-snack,coconut-water,250 g
dinner,aloo-paratha,3 discrete
dinner,curd,0.33 cup
